list_id,title,price,price_million,area,district,ward,street,lat,lon,image,images,url,district_key
128961406,"Cần Cho Thuê Nhà Mặt Tiền Quốc Lộ 1A, Kinh Doanh Đa Ngành Nghề",8000000,8,90,Quận 12,Phường Thạnh Lộc,Đường Quốc lộ 1,10.861679,106.67807,https://cdn.chotot.com/snuXFXgGSzNYZMhGHp4tzTa52rZOxPTsJYVoleJsZOc/preset:listing/plain/77025c25bfdeee836b85c0cab5722ab3-2957283558111978815.jpg,"['https://cdn.chotot.com/AncjzwMSMAPswG1TcpyD8BqRCBbG4ovudLQ1FoeZQAg/preset:view/plain/77025c25bfdeee836b85c0cab5722ab3-2957283558111978815.jpg', 'https://cdn.chotot.com/K6L-PQrHIdKckx-g6BSsMAZWMToipPfFQ1H0iMCGliI/preset:view/plain/ccd3c9f1d2cfa98257744934434d19ec-2957283560393811263.jpg', 'https://cdn.chotot.com/JeCSlsGLAtOa6S_FICUmzyLYL9onna9iE0AAp-gw094/preset:view/plain/31b06c51e64627927c996cb77205aa3b-2957283560523427199.jpg', 'https://cdn.chotot.com/tXoa4s_QpBdQTNBsbHg-f4woT8LWb7gvgnp8hlbabgk/preset:view/plain/0c240a13961e46eb4820ddbabcc90272-2957283564023434488.jpg', 'https://cdn.chotot.com/LYUIdgvCGei7S1mRcVIojvW9xSHmyzbKEjAE-1MxfVU/preset:view/plain/adb822838269a1afd1d2e6b0d6dfb197-2957283560416201976.jpg', 'https://cdn.chotot.com/Wh3nwgdt2_X7XGr1-XU9dgZvv0Hg6nhtV0HggR26_1E/preset:view/plain/4dce348df001e8771160fe98eec2cca5-2957283559258253297.jpg', 'https://cdn.chotot.com/etS2UUh-NXCs64NLGqWo-z14b6iCvRVEpz3kPDP1_dU/preset:view/plain/6d211ccfce1269ec0c20fed0f82d1a80-2957283566819681599.jpg', 'https://cdn.chotot.com/Y1KEkBX9BW_IrID4Zih4fjaY93GVfUbhTtoZ3rTdzK4/preset:view/plain/2cfaf1906bfadc5ad2ceccaf37948da8-2957283566070320376.jpg']",https://www.chotot.com/128961406.htm,quan_1
129597093,PHÒNG TRỌ TRUNG TÂM QUẬN 10,3500000,3.5,14,Quận 10,Phường 15,Đường Tô Hiến Thành,10.778292,106.665924,https://cdn.chotot.com/kCjJZdJrXmNrNXoOqrWM1VNyd0JTMBWSD-hkPiAvxf8/preset:listing/plain/68d2ea42476be8e1ad9c1e5b42a1fcb7-2961777132609984655.jpg,"['https://cdn.chotot.com/faTrvjz9lahYACsT2TA1-2hV_ac4rRSl4ttZxmrI6no/preset:view/plain/68d2ea42476be8e1ad9c1e5b42a1fcb7-2961777132609984655.jpg', 'https://cdn.chotot.com/b6EscqATyDTSbxYDeLckxmNqokRnsnnXcPBDaCrzamw/preset:view/plain/f7e2091a254261a6b7803e95420b88b6-2961777154063820111.jpg', 'https://cdn.chotot.com/_VzJKmzoKrdXvlp4JhUqnl9nTS_xORw8bSmghYPK9h0/preset:view/plain/af232eb8d006c72952cf98f67651581f-2961777160101700296.jpg']",https://www.chotot.com/129597093.htm,quan_1
127618731,"HẺM XE HƠI LÔGÓC3 MẶTTIỀNNHÀĐẸP ỞĐườngTCH 34, phườ",4800000000,4800,68,Quận 12,Phường Tân Chánh Hiệp,Đường Tô Ký,10.852403,106.6266,https://cdn.chotot.com/nWec_rdh7ChGrIoxOMYhUYS3rjrDFVIAp0t0OGhmU40/preset:listing/plain/09e66be95931d91a4fa047998920cc81-2948557494780804962.jpg,"['https://cdn.chotot.com/irVafr0K_DLGcY7R2XkrqJx9ltP7pvRjkYYJMmaHFtA/preset:view/plain/09e66be95931d91a4fa047998920cc81-2948557494780804962.jpg', 'https://cdn.chotot.com/Ydiq1Fx7X4fWoMnkWZsXF6jFHsKhKtw09UkH-YuasQo/preset:view/plain/32c53a0fee9c88b7aad739df6dd751fb-2948557494537232882.jpg', 'https://cdn.chotot.com/CJk6LMlxvGKKxDLtz3NPzc-3iu1lpVNerilrknlH3Pk/preset:view/plain/1bbe7dfd951ba8ec8ac509ede3113f47-2948557494639911569.jpg', 'https://cdn.chotot.com/g3HF95frgkcXpnWtfpPfQ_SjFgyveGQtvPiNVD0KhjU/preset:view/plain/ddcc14d7a45b747cba3d09c36ce175b5-2948557494761277807.jpg', 'https://cdn.chotot.com/q0srTqKkW9yMhIZzdBk1U3GMky7D9LbMawF6CX2REw0/preset:view/plain/fca20c7ff41e8e8168834ec8fd91819e-2948557494725648759.jpg', 'https://cdn.chotot.com/0FoiyVRhJuNE2gH5lXOFjKiCDRJSPlR2597VIeAa1fs/preset:view/plain/5db9bf322147ba793bd9666350a244a9-2948557494848613375.jpg']",https://www.chotot.com/127618731.htm,quan_1
129570620,"🏠 CHỦ CHO THUÊ CĂN HỘ MINI 1PN 30m2 - KHU NGUYỄN GIA TRÍ, BÌNH THẠNH",7000000,7,30,Quận Bình Thạnh,Phường 25,Nguyễn Gia Trí,10.804097,106.715385,https://cdn.chotot.com/EDDDIZcYQYqSCOco__NpzMKxXieSQUd-gjZOx0OBwtQ/preset:listing/plain/70bd43080d31dac72f2393b09c533b8e-2961612540702744985.jpg,"['https://cdn.chotot.com/XuaBZHx3xcu_cUGiSg6N4SGZRlie-Zrs8YaucvtX-yA/preset:view/plain/70bd43080d31dac72f2393b09c533b8e-2961612540702744985.jpg', 'https://cdn.chotot.com/QLzGMbqhSyEpsqJqEYfQ3SIqMeOiFMi_bV4Ls_dUZLk/preset:view/plain/6c605d6df04565ffccbb969e55a553b7-2961612540820008096.jpg', 'https://cdn.chotot.com/4cmPzKzU53o59tGVNCVW_HgCs3oOuubJ7Ll4WfDYQes/preset:view/plain/d57bb7a6cc170e03827e3e43fe00cd6c-2961612540820955795.jpg', 'https://cdn.chotot.com/xCgD51CkacQIwdHLX-Qo4nyX-9r37OvDpBEZJn96xBo/preset:view/plain/fd237b4bfebfffa4ae8ebeaa40459c0a-2961612541033917379.jpg', 'https://cdn.chotot.com/CjZ5dQlr4F2_m1u1DBi4viBiDITCvYv_YahdUGVfCP0/preset:view/plain/4ed9ede45ea007e0fdcc24666c65aad3-2961612540944453140.jpg', 'https://cdn.chotot.com/A-o_FCo-eYeHsW1qzOVV5SWKVfG5xJCeWMu9iCmCCUc/preset:view/plain/a56653e2ec142f7c5f19e3137fe36dc1-2961612541123878556.jpg', 'https://cdn.chotot.com/SMqkD3BpA6VEfP3az1yxauTzOkEW0W_SI86ciYbvrnk/preset:view/plain/9c9cb1a195be96020e559af0e798d28f-2961612540996172021.jpg', 'https://cdn.chotot.com/bAAa0dT210snIZykKL4LyHzNCQLYlz1shVHmwFFedAc/preset:view/plain/e262e0e8a64b1d6a512dba9c8e71bf01-2961612540855577488.jpg']",https://www.chotot.com/129570620.htm,quan_binh_thanh
129541065,Cho thuê nhà đg.nội bộ cmt8.p5.tân bình,9200000,9.2,50,Quận Tân Bình,Phường 5,Đg.cmt8,10.789833,106.663025,https://cdn.chotot.com/wIKag8oVb6rY_ji4ijSc7a3ALg-rValAIhLSt9Ae2s0/preset:listing/plain/4b3010161025e759ac1d38cff21dba23-2961313188739780156.jpg,"['https://cdn.chotot.com/RrO9hMBJtyogTTTOhGFiGPomzuVbucbcyFCSImeo8kA/preset:view/plain/4b3010161025e759ac1d38cff21dba23-2961313188739780156.jpg', 'https://cdn.chotot.com/Z5fyc3whO-a6o2HuMJ6hLJ7R0e88J-Ff8vsqIoy164g/preset:view/plain/d2ad7d739b69495cc13d2558e27b69c4-2961313188727919842.jpg', 'https://cdn.chotot.com/eH4wYlj6nESgs72y1O8XYdCTd2rmt6RUByTK5JXGgt4/preset:view/plain/43f1a165f014f2ba031f2b89094a3585-2961313190266380144.jpg']",https://www.chotot.com/129541065.htm,quan_tan_binh
119307463,"Cho thuê phòng trọ 2.2tr có gác cao, gần chợ An Nhơn",2200000,2.2,18,Quận Gò Vấp,Phường 6,183/7 Đường Số 28 Phường 6 Gò Vấp,10.838439,106.6817,https://cdn.chotot.com/CY8FyiFbeIAMC0xrAfv25ckoq69rwoYkD75jwNn4Vq4/preset:listing/plain/29adea836c45d40ae04be463b2583be1-2895658105285816294.jpg,"['https://cdn.chotot.com/A-6MtoiODMC4IzUKUwr65cO2pGFJJGTvu_sBXSd4TSI/preset:view/plain/29adea836c45d40ae04be463b2583be1-2895658105285816294.jpg', 'https://cdn.chotot.com/21iI1h8Et7xICDu5ZLfD5iPHGYh3jZUvQQn374N9bRs/preset:view/plain/426684eaf19a74ab8af5e98a66e61310-2895658105345643703.jpg', 'https://cdn.chotot.com/Zx6IlL963ElFBKJwzzoRYAK36d8KgfbGktGUo8znrz0/preset:view/plain/53ab80963ecf2af63a36183126dcf843-2895658106225405926.jpg', 'https://cdn.chotot.com/zJLOGFzVRPseIRM4iHs8ye6hBLm63hwlSMa7EILYJNg/preset:view/plain/6fa23dfe26e89493c31bd10ada5c23ab-2895658106166319705.jpg', 'https://cdn.chotot.com/Ts2yEUGAlKXjL-OyNE-kjicDVky4KVbUNgAeoM28tRw/preset:view/plain/f45f2d711e17f660b869db164ffcf499-2895658107175439935.jpg', 'https://cdn.chotot.com/YMGfqC1dOApqw0mh94exd5PUWUgWBOqHo8dSBVGxJqQ/preset:view/plain/88c40c7fe1533ce90a0972da43ce6d8d-2895658107283695055.jpg', 'https://cdn.chotot.com/dlnQRKe07V6Yrnc8mbmgSrsrun0PS-w7MmX3Epxe47g/preset:view/plain/d8da14e7fcf09fa9452f665b05d98627-2895658109321974967.jpg']",https://www.chotot.com/119307463.htm,quan_go_vap
129493485,"Nhà cho thuê phòng trọ 40 triệu/tháng chỉ  8,66 tỷ",8660000000,8660,134,Quận Gò Vấp,Phường 11,Đường Thống Nhất,10.835463,106.66462,https://cdn.chotot.com/zcKGADNl8BUNTY2rvQRAuOcsY5NSsCk50VUb7PEphdE/preset:listing/plain/f53e82315be2bd5f5d49596aa61e80b5-2961037153284535653.jpg,"['https://cdn.chotot.com/DE-bI52cw4hvl99-E4CZm1xHnj_JuE4tp9VGewyF_dc/preset:view/plain/f53e82315be2bd5f5d49596aa61e80b5-2961037153284535653.jpg', 'https://cdn.chotot.com/H5G2e6sB0eOvHUmIQ4G-jbym6MCa5unWs6nGGfru1bA/preset:view/plain/6ca0404f736d949e711338c8973c41e8-2961037153527320893.jpg', 'https://cdn.chotot.com/MaUwBdNjRaanrWZRa8Fr162Ccns_4bo4PnplH3V_IIo/preset:view/plain/d551c2fa0600212fc939faf453b83bd8-2961037844949487933.jpg']",https://www.chotot.com/129493485.htm,quan_go_vap
129316893,Giảm 102tr bán gấp hẻm xe hơi 10tỷ8 bớt lộc phạm văn chiêu gò vấp 75m2,10800000000,10800,75,Quận Gò Vấp,Phường 9,Đường Phạm Văn Chiêu,10.848225,106.648125,https://cdn.chotot.com/fyFR9EUMZGUouDZ37j9DnqhX60Dp7i3J8InGYudd8yU/preset:listing/plain/6aea0e74432e1d8e054545a4bfe89701-2959747424302928139.jpg,"['https://cdn.chotot.com/XO_vWV3MpIaBGswcK8t4cENFSD29ZySlD07BvjQfwko/preset:view/plain/6aea0e74432e1d8e054545a4bfe89701-2959747424302928139.jpg', 'https://cdn.chotot.com/B6WhThyHRZDbVK7RI7-ySIyWb-NCZ7M-LCOaOkyvWzc/preset:view/plain/886654380c386bb87b0f829a61c02394-2959747424336579475.jpg', 'https://cdn.chotot.com/OFLYHO9KgryWEwrABv8BMXIiTdpNwSto3vyfa3nwaKc/preset:view/plain/48da8273a36e29bad1da482b4995e1d3-2959747424288336799.jpg', 'https://cdn.chotot.com/hQ0lKyjsIVmpJ6XQ4CK3MZS3iCA7WRcK1yTbtiFQvVs/preset:view/plain/4132eb14f8001e9c45586bc6c3c480a4-2959747424294214756.jpg', 'https://cdn.chotot.com/l-jW__H85Ev5JVdoiiN_xoNwea-_W7BzXEI5MSXkx68/preset:view/plain/12d1a9d69d3a1eb0cdfe96eb0e00f254-2959747424236041512.jpg']",https://www.chotot.com/129316893.htm,quan_go_vap
127411273,"HXH VF5-DT: 54mv ngang 7m-4 Đồng hơn bao RẺ -2PN-sát MT-xây max 3,5tấm",4500000000,4500,54,Quận Gò Vấp,Phường 14,Hẻm 445 Phạm Văn Chiêu,10.8516,106.65556,https://cdn.chotot.com/806KtjAfsaTUGLxWrfs2kvEA3-WVfVb4NLpPLEkfuRI/preset:listing/plain/ed5616e1fa87986720c7d55425f2149e-2946975898323507402.jpg,"['https://cdn.chotot.com/izeUEdWtSLoNxpgWHmx_S82g0K0ZWnNZbgys3-xwJE0/preset:view/plain/ed5616e1fa87986720c7d55425f2149e-2946975898323507402.jpg', 'https://cdn.chotot.com/bIi0_jbosMghTCy8Q8R9PLWCCBDU1mZltmvG7iXJjfY/preset:view/plain/d21fd9041d0be8d80e1b12033745b72c-2946975898245077711.jpg', 'https://cdn.chotot.com/cm6FxW0aJhkCkniLQ7MBu3uPxMZx5jhu5pZ86BEE05w/preset:view/plain/9384acfb99f5bd478901d23ed5545454-2946975899602879644.jpg', 'https://cdn.chotot.com/2PEQho9rgivZ3MeBZxQ_lY0Vg3wCbsgmxzKuHe0SdJk/preset:view/plain/38039965c500847b61ea831e06cc5225-2946975899743352936.jpg', 'https://cdn.chotot.com/9PuLU8d1XD2NDCOzy2ZkvPa8vK8jVRlm2gJMu1aOUqc/preset:view/plain/19fe3d8f92f4b14a673f7407403bbe6d-2946975901055324516.jpg', 'https://cdn.chotot.com/bvMi09rg5ydRWvyN7j3djTie7_7CxTZGgLNkxqS--h0/preset:view/plain/f3fa6a933fe226c648cea8b466d20cc2-2946975901155185731.jpg', 'https://cdn.chotot.com/9h4Gi-UM8xfdxQAAo6D3FtK9FYuH4_7YV5i7NWeDOn0/preset:view/plain/d61028c5978f6ce17196b58d4ae1993f-2946975902421583004.jpg', 'https://cdn.chotot.com/7UajOP0wRtLk-2jcG0u6oUNvMw22tlT978_ol7nUS9g/preset:view/plain/f1c20905a7a716e402bb4d98c67070dd-2946975902515007844.jpg', 'https://cdn.chotot.com/QA15eNAdgvZ7HNlOUU_37vuNTCU54OJCqauE-rJd_Nw/preset:view/plain/ba630e53c969ff678f561f4793849296-2946975903773364580.jpg', 'https://cdn.chotot.com/b7E650BxzVDAyycGVGn2i9TBPmYvUfwb1GKRTqz3NQs/preset:view/plain/32545c3e5c41c216d2fb160733484dc4-2946975904149701788.jpg', 'https://cdn.chotot.com/BcF42kkKpXtfX7s03uuJoJLHxfakMK28XAM4e19zMPw/preset:view/plain/39f09b12b8637c04f6b8943af075adfe-2946975993169999203.jpg']",https://www.chotot.com/127411273.htm,quan_go_vap
129578085,CHO THUÊ MẶT BẰNG MẶT TIỀN LÂM VĂN BỀN TRUNG TÂM QUẬN 7,18000000,18,70,Quận 7,Phường Tân Kiểng,Đường Lâm Văn Bền,10.748124,106.71586,https://cdn.chotot.com/FgzAxNOOpTt86YUE4uN3TwugeXyYkq8jSyGtnhLWdzc/preset:listing/plain/90720d09b6a731aa676638e993231b7f-2961644428319653516.jpg,"['https://cdn.chotot.com/zlojxUyjfCHCaEotUK4Va_lxHfp9RsW3O40ufD-R3Qs/preset:view/plain/90720d09b6a731aa676638e993231b7f-2961644428319653516.jpg', 'https://cdn.chotot.com/eNJ43D_i_x8LoTzWrUN3EpE-Uey2_jxbWya7xYUEljc/preset:view/plain/eaa4f739b7db2a8a0ee0dab74b3e27a2-2961644428890030165.jpg', 'https://cdn.chotot.com/wNNUV8kGGn6SHxeOeUF4VIZj1C_X2qyTurg2kzZZbRM/preset:view/plain/5ac33ef3de539920d0ccfebfe03a75d9-2961644428802522467.jpg', 'https://cdn.chotot.com/t9H1-IN5S0BoNzGG81MimEoTvTLii5-f6nhKremEsf4/preset:view/plain/24fc86037bb0c45c460e457f32f0bbf6-2961644428340615311.jpg', 'https://cdn.chotot.com/vQEH-QTBZaGo6w0gKdyB9EKk88zVKQyi3etMUuAl0KE/preset:view/plain/f3e37d26a752983fbc15fd1d06f6c70d-2961644428940393908.jpg', 'https://cdn.chotot.com/B_oM_42yvRzzouujHZpkJN0kK1dsasukjTobgwqkrwk/preset:view/plain/c93acd820d7964fc35001536b597e46c-2961644429024233352.jpg', 'https://cdn.chotot.com/bjlKBzIT58kaYNZ-AlFJFedUGwp1ecH4-AHYhdWAtrc/preset:view/plain/9eeaad79c2a88a12b74ebd4e981467f7-2961644428371247103.jpg', 'https://cdn.chotot.com/aIuhZHFoltn2L3RLMXYdhM08Md_g5IOZ2odCVZj4C0k/preset:view/plain/d8b34042be12ca931027fa1ddbef3011-2961644428269433820.jpg', 'https://cdn.chotot.com/sXAYe9n7CAEpBfjyOKVfid6QWlOZd5GeA0w41WajaCk/preset:view/plain/54d1653eddac87eb0796f3b5b426d942-2961644429024266618.jpg', 'https://cdn.chotot.com/PyDuvD7GLGcHyr6GVbblTX7AIEDaV9cZSLDmmzZi5go/preset:view/plain/7dd1d520fb45ceff862843c908265599-2961644429024253219.jpg', 'https://cdn.chotot.com/GkLSZay9NlDMivJ6hqci_SmWTRpxhS_8g4vXBpDMVUg/preset:view/plain/1d408d6820acdc0099efbf585cd23483-2961644428525613113.jpg', 'https://cdn.chotot.com/9Nelj02W1i9EsC3uETqgJ30cqbQAh84DDCYigGIGl1E/preset:view/plain/a79ef6770adfb1e8a6b66ae3357b4b7c-2961644428755806694.jpg']",https://www.chotot.com/129578085.htm,quan_7
